Kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
Kernel_4,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3006,3006,1,2,37,6,1,36192272,36192272,12,7,8,2,0,0,0,5,11.55362929,11.55362929,1,5.209453366,2.584962501,0,25.10917834,25.10917834,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.580797
Kernel_5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3006,3006,1,2,37,6,1,36192276,36192276,12,7,8,2,0,0,0,5,11.55362929,11.55362929,1,5.209453366,2.584962501,0,25.1091785,25.1091785,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.579998
Kernel_6,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3006,3006,1,2,37,6,1,36192280,36192280,12,7,8,2,0,0,0,5,11.55362929,11.55362929,1,5.209453366,2.584962501,0,25.10917866,25.10917866,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.58045
Kernel_7,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3006,3006,1,2,37,6,1,36192284,36192284,12,7,8,2,0,0,0,5,11.55362929,11.55362929,1,5.209453366,2.584962501,0,25.10917882,25.10917882,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.577988
Kernel_1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3038,3038,1,2,37,6,1,36966404,36966404,12,7,8,2,0,0,0,5,11.56890615,11.56890615,1,5.209453366,2.584962501,0,25.13971137,25.13971137,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.755034
Kernel_2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3038,3038,1,2,37,6,1,36966408,36966408,12,7,8,2,0,0,0,5,11.56890615,11.56890615,1,5.209453366,2.584962501,0,25.13971153,25.13971153,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.595165
Kernel_3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3038,3038,1,2,37,6,1,36966412,36966412,12,7,8,2,0,0,0,5,11.56890615,11.56890615,1,5.209453366,2.584962501,0,25.13971168,25.13971168,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.593043
Kernel_4,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3038,3038,1,2,37,6,1,36966416,36966416,12,7,8,2,0,0,0,5,11.56890615,11.56890615,1,5.209453366,2.584962501,0,25.13971184,25.13971184,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.593469
Kernel_5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3038,3038,1,2,37,6,1,36966420,36966420,12,7,8,2,0,0,0,5,11.56890615,11.56890615,1,5.209453366,2.584962501,0,25.139712,25.139712,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.592667
Kernel_6,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3038,3038,1,2,37,6,1,36966424,36966424,12,7,8,2,0,0,0,5,11.56890615,11.56890615,1,5.209453366,2.584962501,0,25.13971215,25.13971215,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.592342
